"company	location	industry	total_laid_off	percentage_laid_off	date	stage	country	funds_raised_millions"
"Cuyana	SF Bay Area	Retail	NULL	NULL	3/30/2020	Series C	United States	31"
"ZipRecruiter	Los Angeles	Recruiting	400	0.39	3/29/2020	Series B	United States	219"
"Amplero	Seattle	Marketing	17	1	3/29/2020	Series B	United States	25"
"Polarr	SF Bay Area	Consumer	10	NULL	3/29/2020	Series A	United States	13"
"TravelTriangle	Gurugram	Travel	250	0.5	3/28/2020	Series D	India	47"
"WeWork	New York City	Real Estate	250	NULL	3/28/2020	Series H	United States	2250"
"Rent the Runway	New York City	Retail	NULL	NULL	3/28/2020	Series F	United States	541"
"OneWeb	London	Aerospace	451	0.85	3/27/2020	Unknown	United Kingdom	3000"
"Bird	Los Angeles	Transportation	406	0.3	3/27/2020	Series D	United States	623"
"HOOQ	Singapore	Consumer	250	1	3/27/2020	Unknown	Singapore	95"
"Everlane	SF Bay Area	Retail	227	NULL	3/27/2020	Unknown	United States	18"
"DataRobot	Boston	Data	200	NULL	3/27/2020	Series E	United States	430"
"Restaurant365	Los Angeles	Food	175	NULL	3/27/2020	Series C	United States	127"
"Blueground	New York City	Real Estate	130	0.25	3/27/2020	Series B	United States	77"
"Knotel	New York City	Real Estate	127	0.3	3/27/2020	Series C	United States	560"
"Getaround	SF Bay Area	Transportation	100	0.25	3/27/2020	Series D	United States	403"
"Zipcar	Boston	Transportation	100	0.2	3/27/2020	Acquired	United States	107"
"Mogo	Vancouver	Finance	78	0.3	3/27/2020	Post-IPO	Canada	201"
"DISCO	Austin	Legal	75	NULL	3/27/2020	Series E	United States	133"
"Raken	San Diego	Construction	60	NULL	3/27/2020	Series A	United States	12"
"Bench	Vancouver	Finance	47	0.1	3/27/2020	Series B	Canada	49"
"Loft	Sao Paulo	Real Estate	47	NULL	3/27/2020	Series C	Brazil	263"
"Oh My Green	SF Bay Area	Food	40	NULL	3/27/2020	Seed	United States	20"
"Bevi	Boston	Food	30	0.2	3/27/2020	Series C	United States	60"
"Textio	Seattle	Recruiting	30	0.2	3/27/2020	Unknown	United States	41"
"Opal	Portland	Marketing	20	NULL	3/27/2020	Series B	United States	25"
"ThirdLove	New York City	Retail	10	NULL	3/27/2020	Series B	United States	68"
"Bcredi	Curitiba	Finance	NULL	NULL	3/27/2020	Series A	Brazil	NULL"
"Make School	SF Bay Area	Education	NULL	NULL	3/27/2020	Unknown	United States	NULL"
"Pivot3	Austin	Infrastructure	NULL	NULL	3/27/2020	Series H	United States	273"
"B8ta	SF Bay Area	Retail	250	0.5	3/26/2020	Series C	United States	88"
"Fareportal	Gurugram	Travel	200	NULL	3/26/2020	Unknown	India	NULL"
"Puppet	Portland	Infrastructure	50	0.1	3/26/2020	Series F	United States	149"
"Ecobee	Toronto	Energy	47	0.1	3/26/2020	Series C	Canada	149"
"Passport	Charlotte	Transportation	44	NULL	3/26/2020	Series D	United States	123"
"Peerspace	SF Bay Area	Real Estate	41	0.75	3/26/2020	Series B	United States	34"
"GoSpotCheck	Denver	Retail	23	0.2	3/26/2020	Series B	United States	47"
"Consider.co	SF Bay Area	Other	13	1	3/26/2020	Seed	United States	5"
"Nativo	Los Angeles	Marketing	NULL	0.4	3/26/2020	Series B	United States	35"
"TripActions	SF Bay Area	Travel	300	0.25	3/25/2020	Series D	United States	981"
"Lyric	SF Bay Area	Real Estate	100	NULL	3/25/2020	Series B	United States	179.1"
"Rangle	Toronto	Product	78	0.3	3/25/2020	Unknown	Canada	NULL"
"O'Reilly Media	SF Bay Area	Media	75	0.15	3/25/2020	Unknown	United States	NULL"
"WanderJaunt	SF Bay Area	Travel	56	0.23	3/25/2020	Series B	United States	26"
"OutboundEngine	Austin	Marketing	52	0.28	3/25/2020	Series C	United States	48"
"Wonderschool	SF Bay Area	Education	50	0.75	3/25/2020	Series A	United States	24"
"Overtime	New York City	Media	30	0.23	3/25/2020	Series B	United States	35"
"Jama	Portland	Product	12	0.05	3/25/2020	Unknown	United States	233"
"Element Analytics	SF Bay Area	Data	10	NULL	3/25/2020	Series A	United States	22"
"Clever Real Estate	St. Louis	Real Estate	NULL	NULL	3/25/2020	Series A	United States	5"
"Clutter	Los Angeles	Consumer	NULL	0.3	3/25/2020	Series D	United States	296"
"Divvy Homes	SF Bay Area	Real Estate	NULL	0.08	3/25/2020	Series B	United States	180"
"Universal Standard	New York City	Retail	NULL	NULL	3/25/2020	Series A	United States	8"
"Sonder	SF Bay Area	Travel	400	0.33	3/24/2020	Series D	United States	359"
"Takl	Nashville	Consumer	130	NULL	3/24/2020	Unknown	United States	NULL"
"Foodsby	Minneapolis	Food	87	0.67	3/24/2020	Series B	United States	20"
"Zeus Living	SF Bay Area	Real Estate	80	0.3	3/24/2020	Series B	United States	79"
"TravelBank	SF Bay Area	Travel	20	NULL	3/24/2020	Series B	United States	35"
"Flowr	Toronto	Retail	NULL	0.25	3/24/2020	Unknown	Canada	NULL"
"Peerfit	Tampa Bay	HR	NULL	0.4	3/24/2020	Unknown	United States	47"
"SpotHero	Chicago	Transportation	NULL	NULL	3/24/2020	Series D	United States	117"
"Compass	New York City	Real Estate	375	0.15	3/23/2020	Series G	United States	1600"
"Convene	New York City	Real Estate	150	0.18	3/23/2020	Series D	United States	280"
"Leafly	Seattle	Retail	91	0.5	3/23/2020	Acquired	United States	2"
"The Guild	Austin	Travel	38	0.22	3/23/2020	Series B	United States	36"
"Drip	Salt Lake City	Marketing	20	NULL	3/23/2020	Acquired	United States	0"
"GrayMeta	Los Angeles	Data	20	0.4	3/23/2020	Unknown	United States	7"
"Triplebyte	SF Bay Area	Recruiting	15	0.17	3/23/2020	Series B	United States	48"
"Ladder Life	SF Bay Area	Finance	13	0.25	3/23/2020	Series C	United States	94"
"Cabin	SF Bay Area	Travel	NULL	0.2	3/23/2020	Seed	United States	3"
"Eight Sleep	New York City	Retail	NULL	0.2	3/23/2020	Series C	United States	70"
"Zwift	Los Angeles	Fitness	NULL	NULL	3/23/2020	Series B	United States	164"
"Flywheel Sports	New York City	Fitness	784	0.98	3/20/2020	Acquired	United States	120"
"Peek	Salt Lake City	Travel	45	NULL	3/20/2020	Series B	United States	39"
"CTO.ai	Vancouver	Infrastructure	30	0.5	3/20/2020	Seed	Canada	7"
"Yonder	Austin	Media	18	NULL	3/20/2020	Series A	United States	16"
"Service	Los Angeles	Travel	NULL	1	3/20/2020	Seed	United States	5"
"Vacasa	Portland	Travel	NULL	NULL	3/20/2020	Series C	United States	526"
"Bounce	Bengaluru	Transportation	120	NULL	3/19/2020	Series D	India	214"
"Ejento	SF Bay Area	Recruiting	84	1	3/19/2020	Unknown	United States	NULL"
"Remote Year	Chicago	Travel	50	0.5	3/19/2020	Series B	United States	17"
"Lola	Boston	Travel	34	NULL	3/19/2020	Series C	United States	81"
"Anyvision	Tel Aviv	Security	NULL	NULL	3/19/2020	Series A	Israel	74"
"Popin	New York City	Fitness	NULL	1	3/19/2020	Unknown	United States	13"
"Tuft & Needle	Phoenix	Retail	NULL	NULL	3/19/2020	Acquired	United States	0"
"Flytedesk	Boulder	Marketing	4	0.2	3/18/2020	Seed	United States	4"
"Inspirato	Denver	Travel	130	0.22	3/16/2020	Series C	United States	79"
"Help.com	Austin	Support	16	1	3/16/2020	Seed	United States	6"
"Service	Los Angeles	Travel	NULL	1	3/16/2020	Seed	United States	5.1"
"HopSkipDrive	Los Angeles	Transportation	8	0.1	3/13/2020	Unknown	United States	45"
"Panda Squad	SF Bay Area	Consumer	6	0.75	3/13/2020	Seed	United States	1"
"Tamara Mellon	Los Angeles	Retail	20	0.4	3/12/2020	Series C	United States	90"
"EasyPost	Salt Lake City	Logistics	75	NULL	3/11/2020	Series A	United States	12"
"Blackbaud	Charleston	Other	500	0.14	NULL	Post-IPO	United States	NULL"
"Yahoo	SF Bay Area	Consumer	1600	0.2	2/9/2023	Acquired	United States	6"
"Hibob	Tel Aviv	HR	70	0.3	3/30/2020	Series A	Israel	45"
"Casper	New York City	Retail	NULL	NULL	9/14/2021	Post-IPO	United States	339"
"Wildlife Studios	Sao Paulo	Consumer	300	0.2	11/28/2022	Unknown	Brazil	260"
